WT (cycles),WC (kA),EF (N),"Quality levelc,d"
7,6.16,1500,GOOD
12,5.64,1500,GOOD
3,5.51,1500,BAD
5,4.98,1500,BAD
8,4.46,1500,BAD
9,3.93,1500,BAD
3,4.06,1500,BAD
3,3.54,1500,BAD
9,2.88,1500,BAD
12,6.56,1500,GOOD
3,6.56,1500,BAD
8,2.49,1500,BAD
4,2.49,1500,BAD
12,1.96,1500,BAD
11,6.56,1000,GOOD
7,6.42,1000,GOOD
9,5.9,1000,GOOD
12,5.51,1000,GOOD
5,5.64,1000,GOOD
9,4.98,1000,GOOD
6,4.98,1000,BAD
12,4.59,1000,BAD
7,4.46,1000,GOOD
11,3.93,1000,BAD
8,3.93,1000,BAD
4,4.06,1000,BAD
10,3.41,1000,BAD
4,3.54,1000,BAD
7,3.01,1000,BAD
11,1.96,1000,BAD
3,1.96,1000,BAD
10,2.49,1000,BAD
2,2.49,1000,BAD
5,1.57,1000,BAD
11,1.7,1500,BAD
3,1.44,1500,BAD
