WT (cycles),WC (kA),EF (N),Value (kN)
7,6.16,1500,6.91
12,5.64,1500,6.36
3,5.51,1500,5.5
5,4.98,1500,5.75
8,4.46,1500,5.8
9,3.93,1500,5.14
3,4.06,1500,4.01
3,3.54,1500,3.58
9,2.88,1500,4.49
12,6.56,1500,6.5
3,6.56,1500,5.55
8,2.49,1500,3.76
4,2.49,1500,2.95
12,1.96,1500,3.42
11,6.56,1000,6.78
7,6.42,1000,6.68
9,5.9,1000,6.38
12,5.51,1000,6.06
5,5.64,1000,6.28
9,4.98,1000,6.11
6,4.98,1000,5.92
12,4.59,1000,5.92
7,4.46,1000,5.98
11,3.93,1000,5.17
8,3.93,1000,5.56
4,4.06,1000,4.67
10,3.41,1000,4.93
4,3.54,1000,4.21
7,3.01,1000,4.21
11,1.96,1000,3.63
3,1.96,1000,2.29
10,2.49,1000,3.18
2,2.49,1000,2.7
5,1.57,1000,1.67
11,1.7,1500,2.1
3,1.44,1500,1.36
